,EPI11,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
0,3.0,0.0,1.0,10.0,10.0,10.0,2.0,1.0,0.0,10.0,10.0,1.0,5.0,6.0,6.0,7.0,7.0,7.0,4.7272727272727275,10.0
1,4.0,5.0,8.0,10.0,8.0,9.0,6.0,3.0,0.0,10.0,10.0,6.363636363636363,6.0,3.0,3.0,9.0,3.0,5.0,7.0,10.0
2,9.0,10.0,10.0,10.0,10.0,5.0,9.0,10.0,9.0,8.0,10.0,2.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0
3,3.0,3.0,1.0,10.0,9.0,9.0,4.0,6.0,1.0,9.454545454545455,10.0,4.636363636363637,7.0,10.0,10.0,0.0,9.0,9.0,1.0,10.0
4,3.0,3.0,6.0,10.0,9.0,10.0,3.0,3.0,0.0,8.909090909090908,9.090909090909092,6.636363636363637,6.0,6.0,6.0,0.0,5.0,4.0,8.0,10.0
5,3.0,5.0,1.0,2.0,2.0,9.0,7.0,5.0,0.0,10.0,10.0,3.0,5.636363636363637,9.0,9.0,5.7272727272727275,8.0,9.0,4.454545454545454,10.0
6,5.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,4.0,0.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.090909090909091,10.0
7,4.0,2.0,1.0,10.0,10.0,10.0,5.0,2.0,0.0,10.0,10.0,8.0,5.7272727272727275,9.0,9.0,7.0,8.0,8.0,9.0,10.0
8,5.0,9.0,10.0,10.0,9.0,8.0,8.0,7.0,0.0,6.0,3.0,7.0,4.0,9.0,8.0,10.0,9.0,8.0,5.0,6.0
9,7.0,7.0,8.0,5.0,3.0,7.0,9.0,9.0,7.0,7.0,10.0,4.0,4.0,8.0,7.0,9.0,9.0,9.0,6.0,6.0
10,4.0,5.0,5.0,10.0,10.0,9.0,5.0,6.0,0.0,7.0,10.0,2.0,4.636363636363637,10.0,10.0,6.7272727272727275,9.0,9.0,4.0,10.0
11,4.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,2.0,0.0,6.636363636363637,6.0,1.0,1.0,2.0,5.0,5.0,6.454545454545454,10.0
12,8.0,8.0,10.0,9.0,7.0,2.0,10.0,10.0,9.0,7.0,0.0,8.0,3.0,10.0,10.0,7.0,10.0,10.0,7.0,5.0
13,5.0,8.0,7.0,10.0,8.0,8.0,8.0,10.0,0.0,10.0,10.0,10.0,3.0,7.0,7.0,8.0,7.0,7.0,4.0,10.0
14,8.0,7.0,10.0,8.0,5.0,7.0,10.0,10.0,10.0,6.0,0.0,5.909090909090909,5.0,8.0,7.0,5.0,9.0,7.0,8.0,8.0
